type,name,shortname,start,end,desc,cost,deaths
storm,"Colorado Hail Storm and Central Severe Weather†
 May 2017",,2017-05-08,2017-05-11,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding 1.5 billion.",$2.20,0
storm,"South/ Southeast Severe Weather†
 March 2017",,2017-03-26,2017-03-28,"Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes.",$2.10,0
storm,"Midwest Tornado Outbreak†
 March 2017",,2017-03-06,2017-03-08,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York.",$2.10,2
storm,"Central/ Southeast Tornado Outbreak†
 March 2017",,2017-02-28,2017-03-01,Over 70 tornadoes developed during a widespread outbreak across many central and southern states causing significant damage. There was also widespread straight-line wind and hail damage. This was the second large tornado outbreak to occur early in 2017.,$1.80,6
storm,"Southern Tornado Outbreak and Western Storms†
 January 2017",,2017-01-20,2017-01-22,"High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak during a winter month (Dec.-Feb.) for records going back to 1950.",$1.10,24
storm,"Rockies and Northeast Severe Weather†
 July 2016",,2016-07-28,2016-07-30,"Severe storms across the Rockies and Northeastern states (CO, WY, VA, MD, PA, NJ, NY) caused large hail and high wind damage. Storm damage in Colorado was the most costly due to hail.",$1.50,0
storm,"Rockies/ Central Tornadoes and Severe Weather†
 May 2016",,2016-05-21,2016-05-26,"Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage.",$1.20,0
storm,"Plains Tornadoes and Central Severe Weather†
 May 2016",,2016-05-08,2016-05-11,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",$1.80,2
storm,"South/ Southeast Tornadoes†
 April 2016",,2016-04-26,2016-05-02,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,$2.50,6
storm,"North/ Central Texas Hail Storm†
 April 2016",,2016-04-10,2016-04-12,"Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States.",$3.60,0
storm,"North Texas Hail Storm†
 March 2016",,2016-03-23,2016-03-24,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",$2.10,0
storm,"Southern Severe Weather†
 March 2016",,2016-03-17,2016-03-18,"Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi.",$1.20,1
storm,"Southeast and Eastern Tornadoes†
 February 2016",,2016-02-22,2016-02-24,"Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage.",$1.10,10
